word,emotion,color,sentiment,subjectivity,source
great,joy,#fbbf24,positive,strong,fallback
good,trust,#22c55e,positive,strong,fallback
excellent,joy,#fbbf24,positive,strong,fallback
happy,joy,#fbbf24,positive,strong,fallback
agree,trust,#22c55e,positive,strong,fallback
wonderful,joy,#fbbf24,positive,strong,fallback
positive,trust,#22c55e,positive,strong,fallback
love,joy,#fbbf24,positive,strong,fallback
fantastic,joy,#fbbf24,positive,strong,fallback
hope,anticipation,#06b6d4,positive,strong,fallback
brilliant,joy,#fbbf24,positive,strong,fallback
success,joy,#fbbf24,positive,strong,fallback
benefit,trust,#22c55e,positive,strong,fallback
support,trust,#22c55e,positive,strong,fallback
innovative,anticipation,#06b6d4,positive,strong,fallback
efficient,trust,#22c55e,positive,strong,fallback
solution,trust,#22c55e,positive,strong,fallback
improve,trust,#22c55e,positive,strong,fallback
promising,anticipation,#06b6d4,positive,strong,fallback
opportunity,anticipation,#06b6d4,positive,strong,fallback
thrive,joy,#fbbf24,positive,strong,fallback
collaborative,trust,#22c55e,positive,strong,fallback
inclusive,trust,#22c55e,positive,strong,fallback
fair,trust,#22c55e,positive,strong,fallback
sustainable,trust,#22c55e,positive,strong,fallback
outstanding,joy,#fbbf24,positive,strong,fallback
inspire,joy,#fbbf24,positive,strong,fallback
achievement,joy,#fbbf24,positive,strong,fallback
proud,joy,#fbbf24,positive,strong,fallback
cheerful,joy,#fbbf24,positive,strong,fallback
delight,joy,#fbbf24,positive,strong,fallback
pleasure,joy,#fbbf24,positive,strong,fallback
bad,anger,#ef4444,negative,strong,fallback
poor,sadness,#3b82f6,negative,strong,fallback
disagree,anger,#ef4444,negative,strong,fallback
wrong,anger,#ef4444,negative,strong,fallback
terrible,anger,#ef4444,negative,strong,fallback
negative,anger,#ef4444,negative,strong,fallback
fail,fear,#8b5cf6,negative,strong,fallback
risk,fear,#8b5cf6,negative,strong,fallback
problem,anger,#ef4444,negative,strong,fallback
cost,disgust,#84cc16,negative,strong,fallback
dangerous,fear,#8b5cf6,negative,strong,fallback
harmful,fear,#8b5cf6,negative,strong,fallback
oppose,anger,#ef4444,negative,strong,fallback
worry,fear,#8b5cf6,negative,strong,fallback
crisis,fear,#8b5cf6,negative,strong,fallback
concern,fear,#8b5cf6,negative,strong,fallback
inefficient,disgust,#84cc16,negative,strong,fallback
waste,disgust,#84cc16,negative,strong,fallback
inequality,anger,#ef4444,negative,strong,fallback
unaffordable,anger,#ef4444,negative,strong,fallback
injustice,anger,#ef4444,negative,strong,fallback
conflict,anger,#ef4444,negative,strong,fallback
tension,fear,#8b5cf6,negative,strong,fallback
divide,anger,#ef4444,negative,strong,fallback
polarize,anger,#ef4444,negative,strong,fallback
awful,anger,#ef4444,negative,strong,fallback
dreadful,fear,#8b5cf6,negative,strong,fallback
miserable,sadness,#3b82f6,negative,strong,fallback
frustrate,anger,#ef4444,negative,strong,fallback
anger,anger,#ef4444,negative,strong,fallback
fear,fear,#8b5cf6,negative,strong,fallback
sadness,sadness,#3b82f6,negative,strong,fallback
grief,sadness,#3b82f6,negative,strong,fallback
regret,sadness,#3b82f6,negative,strong,fallback
urgent,anticipation,#06b6d4,positive,strong,fallback
exciting,joy,#fbbf24,positive,strong,fallback
energetic,anticipation,#06b6d4,positive,strong,fallback
intense,anticipation,#06b6d4,positive,strong,fallback
critical,fear,#8b5cf6,negative,strong,fallback
immediate,anticipation,#06b6d4,positive,strong,fallback
powerful,trust,#22c55e,positive,strong,fallback
dynamic,anticipation,#06b6d4,positive,strong,fallback
explosive,anger,#ef4444,negative,strong,fallback
revolutionary,anticipation,#06b6d4,positive,strong,fallback
drastic,anger,#ef4444,negative,strong,fallback
radical,anger,#ef4444,negative,strong,fallback
must,trust,#22c55e,neutral,strong,fallback
should,trust,#22c55e,neutral,strong,fallback
never,anger,#ef4444,negative,strong,fallback
always,trust,#22c55e,positive,strong,fallback
breakthrough,joy,#fbbf24,positive,strong,fallback
incredible,joy,#fbbf24,positive,strong,fallback
phenomenal,joy,#fbbf24,positive,strong,fallback
extraordinary,joy,#fbbf24,positive,strong,fallback
calm,trust,#22c55e,positive,strong,fallback
gentle,trust,#22c55e,positive,strong,fallback
slow,sadness,#3b82f6,neutral,strong,fallback
steady,trust,#22c55e,positive,strong,fallback
quiet,sadness,#3b82f6,neutral,strong,fallback
moderate,trust,#22c55e,neutral,strong,fallback
gradual,trust,#22c55e,neutral,strong,fallback
mild,trust,#22c55e,neutral,strong,fallback
subtle,trust,#22c55e,neutral,strong,fallback
balanced,trust,#22c55e,positive,strong,fallback
nuanced,trust,#22c55e,positive,strong,fallback
reflective,anticipation,#06b6d4,positive,strong,fallback
careful,fear,#8b5cf6,neutral,strong,fallback
considered,trust,#22c55e,positive,strong,fallback
thoughtful,trust,#22c55e,positive,strong,fallback
demand,anger,#ef4444,negative,strong,fallback
require,trust,#22c55e,neutral,strong,fallback
insist,anger,#ef4444,negative,strong,fallback
command,anger,#ef4444,negative,strong,fallback
lead,trust,#22c55e,positive,strong,fallback
control,trust,#22c55e,neutral,strong,fallback
decide,trust,#22c55e,neutral,strong,fallback
determine,trust,#22c55e,neutral,strong,fallback
force,anger,#ef4444,negative,strong,fallback
establish,trust,#22c55e,positive,strong,fallback
mandate,anger,#ef4444,negative,strong,fallback
maybe,anticipation,#06b6d4,neutral,strong,fallback
perhaps,anticipation,#06b6d4,neutral,strong,fallback
might,anticipation,#06b6d4,neutral,strong,fallback
could,anticipation,#06b6d4,neutral,strong,fallback
possibly,anticipation,#06b6d4,neutral,strong,fallback
suggest,trust,#22c55e,positive,strong,fallback
wonder,anticipation,#06b6d4,neutral,strong,fallback
ask,trust,#22c55e,neutral,strong,fallback
request,trust,#22c55e,neutral,strong,fallback
hope,anticipation,#06b6d4,positive,strong,fallback
wish,anticipation,#06b6d4,positive,strong,fallback
consider,trust,#22c55e,positive,strong,fallback
allow,trust,#22c55e,positive,strong,fallback
permit,trust,#22c55e,positive,strong,fallback
enable,trust,#22c55e,positive,strong,fallback
happy,joy,#fbbf24,positive,strong,fallback
sad,sadness,#3b82f6,negative,strong,fallback
