word,valence,arousal,dominance
abacus,0.6,0.1,0.2
abandon,-0.6,0.15,-0.4
abandoned,-0.6333,0.3333,-0.1
abandonment,-0.4,0.425,-0.1
abbot,0.6,0.1,0.2
abduction,-0.3,0.3333,-0.3
aberration,-0.6,0.1,-0.4
abhor,-0.6,0.5,-0.1333
abhorrent,-0.6,0.5,-0.1333
abject,-0.6,0.1,-0.4
abnormal,-0.6,0.1,-0.4
abolish,-0.7,0.7,0.5
abominable,-0.55,0.4,-0.45
abomination,-0.6,0.5,-0.1333
abortion,-0.6,0.1333,-0.4
abortive,-0.7,-0.4,-0.3
abrupt,0.3,0.7,-0.1
abscess,-0.7,-0.4,-0.3
absence,-0.6,0.15,-0.4
absent,-0.7,-0.4,-0.3
absentee,-0.7,-0.4,-0.3
absolution,0.7,0.35,0.35
abundance,0.25,0.325,0.15
abundant,0.8,0.6,0.5
abuse,-0.625,0.275,-0.175
abysmal,-0.7,-0.4,-0.3
abyss,-0.6,0.15,-0.4
academic,0.6,0.1,0.2
accelerate,0.2,0.5,0.3
accident,-0.3,0.3333,-0.3
accidental,-0.1,0.7,-0.3
accidentally,0.3,0.7,-0.1
accolade,0.475,0.475,0.225
accompaniment,0.5333,0.4,0.3333
accomplish,0.8,0.6,0.5
accomplished,0.8,0.6,0.5
accord,0.6,0.1,0.2
account,0.6,0.1,0.2
accountability,0.6,0.1,0.2
accountable,0.6,0.1,0.2
accountant,0.6,0.1,0.2
accounts,0.6,0.1,0.2
accredited,0.6,0.1,0.2
accurate,0.6,0.1,0.2
accursed,-0.6333,0.3333,-0.1
accusation,-0.65,0.4,0.05
accused,-0.6,0.7,0.0
accuser,-0.6,0.7,0.0
accusing,-0.6,0.7,0.0
ache,-0.7,-0.4,-0.3
achieve,0.7,0.35,0.35
achievement,0.5333,0.4,0.3333
aching,-0.7,-0.4,-0.3
acquiring,0.2,0.5,0.3
acrobat,0.3,0.4667,0.0667
actionable,-0.65,0.4,0.05
adder,-0.625,0.275,-0.175
addresses,0.2,0.5,0.3
adhering,0.6,0.1,0.2
adjudicate,-0.5,0.7,-0.5
administrative,0.6,0.1,0.2
admirable,0.7,0.35,0.35
